,Aces_left,Double Faults_left,1st Serve Percentage_left,1st Serve Points Won_left,2nd Serve Points Won_left,Break Points Converted_left,Return Points Won_left,Total Points Won_left,Total Games Won_left,Aces_right,Double Faults_right,1st Serve Percentage_right,1st Serve Points Won_right,2nd Serve Points Won_right,Break Points Converted_right,Return Points Won_right,Total Points Won_right,Total Games Won_right,player_left,player_right,date,match_result,match_info,odds_left,odds_right
0,1,0,76%,81% (30/37),58% (7/12),100% (3/3),46% (22/48),61% (59/97),71% (12/17),0,2,65%,61% (19/31),41% (7/17),0% (0/0),24% (12/49),39% (38/97),29% (5/17),alcaraz-garfia-carlos,medvedev-daniil,19.03.2023 19:10,"2
-
0
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - FINAL",1.73,2.10
1,5,1,72%,73% (38/52),45% (9/20),33% (2/6),38% (27/72),51% (74/144),57% (12/21),4,4,50%,78% (28/36),47% (17/36),50% (1/2),35% (25/72),49% (70/144),43% (9/21),alcaraz-garfia-carlos,sinner-jannik,18.03.2023 19:00,"2
-
0
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - SEMI-FINALS",1.53,2.50
2,9,2,59%,80% (35/44),65% (20/31),27% (3/11),39% (29/75),56% (84/150),54% (13/24),3,1,59%,70% (31/44),48% (15/31),67% (2/3),27% (20/75),44% (66/150),46% (11/24),medvedev-daniil,tiafoe-frances,18.03.2023 16:45,"2
-
0
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - SEMI-FINALS",1.25,4.00
3,2,2,62%,81% (29/36),59% (13/22),25% (3/12),43% (35/82),55% (77/140),60% (12/20),6,6,56%,70% (32/46),42% (15/36),25% (1/4),28% (16/58),45% (63/140),40% (8/20),alcaraz-garfia-carlos,auger-aliassime-felix,16.03.2023 21:35,"2
-
0
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - QUARTER-FINALS",1.36,3.20
4,4,0,54%,70% (35/50),55% (23/42),67% (2/3),32% (28/88),48% (86/180),47% (14/30),5,1,64%,80% (45/56),47% (15/32),33% (3/9),37% (34/92),52% (94/180),53% (16/30),fritz-taylor,sinner-jannik,16.03.2023 18:55,"1
-
2
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - QUARTER-FINALS",2.20,1.67
5,4,7,56%,85% (33/39),55% (17/31),29% (2/7),40% (30/75),55% (80/145),62% (13/21),1,0,71%,64% (34/53),50% (11/22),0% (0/6),29% (20/70),45% (65/145),38% (8/21),medvedev-daniil,davidovich-fokina-alejandro,15.03.2023 18:10,"2
-
0
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - QUARTER-FINALS",1.22,4.33
6,7,3,54%,72% (23/32),41% (11/27),29% (2/7),33% (19/58),45% (53/117),40% (8/20),4,2,53%,77% (24/31),56% (15/27),44% (4/9),42% (25/59),55% (64/117),60% (12/20),norrie-cameron,tiafoe-frances,15.03.2023 14:15,"0
-
2
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - QUARTER-FINALS",1.57,2.38
7,0,4,69%,69% (50/72),52% (17/33),22% (2/9),33% (31/95),49% (98/200),50% (15/30),12,7,58%,78% (43/55),53% (21/40),25% (2/8),36% (38/105),51% (102/200),50% (15/30),paul-tommy,auger-aliassime-felix,14.03.2023 23:55,"1
-
2
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/8-FINALS",2.00,1.80
8,5,0,48%,68% (21/31),61% (20/33),29% (4/14),51% (32/63),57% (73/127),71% (12/17),1,1,54%,59% (20/34),38% (11/29),11% (1/9),36% (23/64),43% (54/127),29% (5/17),sinner-jannik,wawrinka-stan,14.03.2023 23:25,"2
-
0
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/8-FINALS",1.17,5.00
9,3,0,74%,80% (16/20),86% (6/7),60% (3/5),56% (19/34),67% (41/61),80% (8/10),1,1,65%,50% (11/22),33% (4/12),0% (0/3),19% (5/27),33% (20/61),20% (2/10),alcaraz-garfia-carlos,draper-jack,14.03.2023 22:30,"1
-
0
FINISHED / RETIRED -
DRAPER J.","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/8-FINALS",1.30,3.50
10,6,4,61%,77% (33/43),50% (14/28),100% (3/3),37% (20/54),54% (67/125),60% (12/20),5,1,65%,71% (25/35),47% (9/19),17% (1/6),34% (24/71),46% (58/125),40% (8/20),tiafoe-frances,tabilo-alejandro,14.03.2023 19:10,"2
-
0
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/8-FINALS",1.20,4.50
11,2,4,61%,69% (33/48),55% (17/31),60% (3/5),43% (23/54),55% (73/133),63% (12/19),4,1,57%,74% (23/31),35% (8/23),25% (1/4),37% (29/79),45% (60/133),37% (7/19),fritz-taylor,fucsovics-marton,14.03.2023 17:50,"2
-
0
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/8-FINALS",1.20,4.50
12,8,2,50%,73% (19/26),31% (8/26),40% (2/5),36% (20/55),44% (47/107),33% (6/18),2,2,60%,79% (26/33),41% (9/22),100% (5/5),48% (25/52),56% (60/107),67% (12/18),rublev-andrey,norrie-cameron,14.03.2023 17:15,"0
-
2
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/8-FINALS",1.62,2.30
13,12,5,66%,75% (65/87),55% (24/44),38% (3/8),33% (41/124),51% (130/255),53% (19/36),7,3,75%,71% (66/93),55% (17/31),12% (2/17),32% (42/131),49% (125/255),47% (17/36),medvedev-daniil,zverev-alexander,14.03.2023 14:15,"2
-
1
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/8-FINALS",1.25,4.00
14,5,0,54%,71% (22/31),58% (15/26),80% (4/5),45% (25/56),55% (62/113),63% (12/19),1,2,64%,64% (23/36),40% (8/20),67% (2/3),35% (20/57),45% (51/113),37% (7/19),davidovich-fokina-alejandro,garin-cristian,14.03.2023 14:10,"2
-
0
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/8-FINALS",1.40,3.00
15,0,3,61%,75% (33/44),68% (19/28),25% (1/4),35% (24/69),54% (76/141),57% (12/21),1,3,67%,72% (33/46),52% (12/23),0% (0/2),28% (20/72),46% (65/141),43% (9/21),alcaraz-garfia-carlos,griekspoor-tallon,13.03.2023 23:40,"2
-
0
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/16-FINALS",1.10,7.00
16,8,1,62%,73% (29/40),68% (17/25),30% (3/10),41% (31/76),55% (77/141),60% (12/20),3,5,58%,68% (30/44),47% (15/32),20% (1/5),29% (19/65),45% (64/141),40% (8/20),draper-jack,murray-andy,13.03.2023 21:20,"2
-
0
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/16-FINALS",1.67,2.20
17,6,4,54%,82% (27/33),79% (22/28),50% (1/2),33% (24/72),55% (73/133),55% (12/22),1,2,53%,71% (27/38),62% (21/34),0% (0/0),20% (12/61),45% (60/133),45% (10/22),sinner-jannik,mannarino-adrian,13.03.2023 19:25,"2
-
0
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/16-FINALS",1.10,7.00
18,4,2,57%,88% (21/24),28% (5/18),50% (6/12),61% (30/49),62% (56/91),80% (12/15),0,1,65%,47% (15/32),24% (4/17),50% (2/4),38% (16/42),38% (35/91),20% (3/15),fritz-taylor,baez-sebastian,13.03.2023 18:35,"2
-
0
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/16-FINALS",1.11,6.50
19,0,2,59%,80% (24/30),38% (8/21),0% (0/0),14% (6/42),41% (38/93),33% (6/18),1,0,57%,92% (22/24),78% (14/18),50% (3/6),37% (19/51),59% (55/93),67% (12/18),molcan-alex,fucsovics-marton,13.03.2023 18:30,"0
-
2
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/16-FINALS",2.38,1.57
20,12,1,57%,74% (43/58),61% (27/44),63% (5/8),44% (48/110),56% (118/212),59% (19/32),6,6,55%,64% (39/61),47% (23/49),25% (2/8),31% (32/102),44% (94/212),41% (13/32),wawrinka-stan,rune-holger,13.03.2023 16:30,"2
-
1
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/16-FINALS",4.33,1.22
21,2,3,68%,70% (30/43),40% (8/20),29% (2/7),37% (31/83),47% (69/146),41% (9/22),6,8,49%,76% (31/41),50% (21/42),50% (4/8),40% (25/63),53% (77/146),59% (13/22),cerundolo-francisco,auger-aliassime-felix,13.03.2023 14:10,"0
-
2
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/16-FINALS",4.50,1.20
22,8,3,54%,75% (33/44),49% (18/37),25% (2/8),32% (28/87),47% (79/168),43% (12/28),6,5,67%,81% (47/58),41% (12/29),40% (4/10),37% (30/81),53% (89/168),57% (16/28),hurkacz-hubert,paul-tommy,13.03.2023 14:10,"1
-
2
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/16-FINALS",1.73,2.10
23,7,5,65%,75% (45/60),41% (13/32),100% (2/2),38% (22/58),53% (80/150),57% (12/21),5,2,59%,65% (22/34),58% (14/24),13% (1/8),37% (34/92),47% (70/150),43% (9/21),tabilo-alejandro,thompson-jordan,12.03.2023 22:10,"2
-
0
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/16-FINALS",2.20,1.67
24,8,6,62%,74% (35/47),48% (14/29),38% (5/13),44% (30/68),55% (79/143),65% (15/23),1,4,68%,65% (30/46),36% (8/22),14% (1/7),35% (26/75),45% (64/143),35% (8/23),medvedev-daniil,ivashka-ilya,12.03.2023 21:15,"2
-
1
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/16-FINALS",1.03,15.00
25,4,0,77%,78% (31/40),58% (7/12),67% (4/6),41% (28/68),55% (66/120),62% (13/21),4,4,44%,77% (23/30),45% (17/38),100% (1/1),27% (14/52),45% (54/120),38% (8/21),rublev-andrey,humbert-ugo,12.03.2023 19:55,"2
-
0
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/16-FINALS",1.22,4.33
26,9,1,73%,77% (33/43),50% (8/16),75% (3/4),43% (18/42),58% (59/101),71% (12/17),1,1,52%,86% (19/22),25% (5/20),0% (0/1),31% (18/59),42% (42/101),29% (5/17),tiafoe-frances,kubler-jason,12.03.2023 19:45,"2
-
0
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/16-FINALS",1.20,4.50
27,4,1,62%,66% (38/58),46% (16/35),40% (4/10),42% (35/83),51% (89/176),50% (13/26),3,5,52%,63% (27/43),53% (21/40),36% (4/11),42% (39/93),49% (87/176),50% (13/26),khachanov-karen,davidovich-fokina-alejandro,12.03.2023 17:20,"1
-
2
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/16-FINALS",1.62,2.30
28,4,1,69%,75% (49/65),45% (13/29),31% (4/13),39% (39/101),52% (101/195),52% (16/31),8,1,61%,66% (41/62),54% (21/39),31% (4/13),34% (32/94),48% (94/195),48% (15/31),ruusuvuori-emil,zverev-alexander,12.03.2023 16:30,"1
-
2
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/16-FINALS",3.50,1.30
29,8,4,63%,59% (39/66),44% (17/39),80% (4/5),36% (35/98),45% (91/203),41% (13/32),11,1,69%,75% (51/68),40% (12/30),70% (7/10),47% (49/105),55% (112/203),59% (19/32),daniel-taro,norrie-cameron,12.03.2023 14:15,"1
-
2
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/16-FINALS",4.33,1.22
30,5,3,58%,80% (36/45),52% (17/33),29% (2/7),38% (30/80),53% (83/158),55% (12/22),3,2,60%,69% (33/48),53% (17/32),25% (1/4),32% (25/78),47% (75/158),45% (10/22),garin-cristian,ruud-casper,12.03.2023 14:10,"2
-
0
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/16-FINALS",4.33,1.22
31,1,1,64%,82% (23/28),88% (14/16),33% (3/9),41% (24/59),59% (61/103),67% (12/18),6,2,58%,68% (23/34),48% (12/25),0% (0/0),16% (7/44),41% (42/103),33% (6/18),alcaraz-garfia-carlos,kokkinakis-thanasi,11.03.2023 23:25,"2
-
0
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/32-FINALS",1.33,3.40
32,2,1,61%,71% (22/31),65% (13/20),0% (0/0),27% (17/64),45% (52/115),38% (8/21),3,3,66%,79% (33/42),64% (14/22),40% (2/5),31% (16/51),55% (63/115),62% (13/21),mcdonald-mackenzie,rune-holger,11.03.2023 21:30,"0
-
2
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/32-FINALS",3.20,1.36
33,1,3,60%,59% (17/29),26% (5/19),100% (1/1),28% (11/40),38% (33/88),25% (4/16),1,0,88%,77% (27/35),40% (2/5),63% (5/8),54% (26/48),63% (55/88),75% (12/16),hijikata-rinky,baez-sebastian,11.03.2023 20:45,"0
-
2
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/32-FINALS",1.80,2.00
34,9,1,66%,75% (30/40),62% (13/21),43% (3/7),39% (20/51),56% (63/112),67% (12/18),2,3,59%,73% (22/30),43% (9/21),0% (0/2),30% (18/61),44% (49/112),33% (6/18),hurkacz-hubert,popyrin-alexei,11.03.2023 20:10,"2
-
0
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/32-FINALS",1.22,4.33
35,4,0,58%,79% (34/43),84% (26/31),50% (2/4),30% (25/82),54% (85/156),55% (16/29),4,2,59%,85% (41/48),47% (16/34),100% (1/1),19% (14/74),46% (71/156),45% (13/29),fritz-taylor,shelton-ben,11.03.2023 18:10,"2
-
1
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/32-FINALS",1.25,4.00
36,3,1,64%,65% (39/60),47% (16/34),57% (4/7),48% (32/66),54% (87/160),60% (12/20),3,1,52%,65% (22/34),38% (12/32),17% (2/12),41% (39/94),46% (73/160),40% (8/20),mannarino-adrian,musetti-lorenzo,11.03.2023 18:10,"2
-
0
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/32-FINALS",1.91,1.91
37,2,1,56%,70% (30/43),50% (17/34),100% (2/2),34% (28/82),47% (75/159),50% (12/24),14,3,68%,77% (43/56),42% (11/26),50% (2/4),39% (30/77),53% (84/159),50% (12/24),pella-guido,griekspoor-tallon,11.03.2023 18:00,"0
-
2
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/32-FINALS",4.50,1.20
38,4,3,60%,67% (35/52),63% (22/35),50% (3/6),38% (35/93),51% (92/180),55% (16/29),10,8,59%,69% (38/55),53% (20/38),50% (2/4),34% (30/87),49% (88/180),45% (13/29),cerundolo-francisco,sock-jack,11.03.2023 17:50,"2
-
1
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/32-FINALS",1.91,1.91
39,6,0,69%,83% (29/35),69% (11/16),18% (2/11),43% (30/70),58% (70/121),63% (12/19),1,0,57%,60% (24/40),53% (16/30),0% (0/0),22% (11/51),42% (51/121),37% (7/19),murray-andy,albot-radu,11.03.2023 16:55,"2
-
0
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/32-FINALS",1.29,3.75
40,4,0,72%,61% (23/38),47% (7/15),75% (6/8),57% (34/60),57% (64/113),67% (12/18),1,6,45%,74% (20/27),18% (6/33),75% (3/4),43% (23/53),43% (49/113),33% (6/18),fucsovics-marton,de-minaur-alex,11.03.2023 16:30,"2
-
0
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/32-FINALS",3.75,1.29
41,3,4,56%,69% (25/36),32% (9/28),25% (1/4),29% (15/52),42% (49/116),33% (6/18),6,0,71%,65% (24/37),87% (13/15),33% (4/12),47% (30/64),58% (67/116),67% (12/18),struff-jan-lennard,paul-tommy,11.03.2023 16:10,"0
-
2
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/32-FINALS",3.50,1.30
42,3,3,58%,58% (21/36),42% (11/26),11% (1/9),41% (33/81),45% (65/143),33% (6/18),1,5,64%,67% (35/52),45% (13/29),44% (4/9),48% (30/62),55% (78/143),67% (12/18),coric-borna,molcan-alex,11.03.2023 15:55,"0
-
2
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/32-FINALS",1.30,3.50
43,4,3,56%,68% (30/44),50% (17/34),50% (1/2),25% (16/65),44% (63/143),45% (10/22),13,3,52%,88% (30/34),61% (19/31),40% (2/5),40% (31/78),56% (80/143),55% (12/22),kecmanovic-miomir,wawrinka-stan,11.03.2023 15:35,"0
-
2
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/32-FINALS",1.67,2.20
44,2,5,47%,61% (17/28),47% (15/32),9% (1/11),41% (32/79),46% (64/139),33% (6/18),8,6,57%,69% (31/45),47% (16/34),40% (4/10),47% (28/60),54% (75/139),67% (12/18),evans-daniel,draper-jack,11.03.2023 14:10,"0
-
2
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/32-FINALS",3.20,1.36
45,0,4,68%,58% (42/72),56% (19/34),100% (1/1),31% (21/68),47% (82/174),45% (10/22),10,4,49%,82% (27/33),57% (20/35),12% (2/17),42% (45/106),53% (92/174),55% (12/22),martinez-pedro,auger-aliassime-felix,11.03.2023 14:10,"0
-
2
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/32-FINALS",8.00,1.08
46,9,1,53%,89% (31/35),55% (17/31),50% (2/4),39% (26/66),56% (74/132),57% (12/21),5,4,58%,76% (29/38),39% (11/28),50% (1/2),27% (18/66),44% (58/132),43% (9/21),sinner-jannik,gasquet-richard,11.03.2023 14:10,"2
-
0
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/32-FINALS",1.11,6.50
47,5,0,58%,76% (22/29),62% (13/21),44% (4/9),46% (31/67),56% (66/117),67% (12/18),1,4,58%,67% (26/39),36% (10/28),20% (1/5),30% (15/50),44% (51/117),33% (6/18),rublev-andrey,lehecka-jiri,11.03.2023 00:40,"2
-
0
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/32-FINALS",1.44,2.75
48,4,0,60%,88% (22/25),65% (11/17),36% (4/11),46% (24/52),61% (57/94),75% (12/16),2,0,63%,52% (17/33),58% (11/19),0% (0/0),21% (9/42),39% (37/94),25% (4/16),tiafoe-frances,giron-marcos,11.03.2023 00:10,"2
-
0
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/32-FINALS",1.36,3.20
49,6,2,59%,73% (24/33),70% (16/23),43% (3/7),44% (27/61),57% (67/117),63% (12/19),7,1,72%,66% (29/44),29% (5/17),0% (0/6),29% (16/56),43% (50/117),37% (7/19),medvedev-daniil,nakashima-brandon,10.03.2023 23:10,"2
-
0
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/32-FINALS",1.10,7.00
50,5,0,64%,63% (22/35),65% (13/20),50% (3/6),48% (27/56),56% (62/111),65% (11/17),4,3,44%,52% (13/25),50% (16/32),33% (1/3),36% (20/55),44% (49/111),35% (6/17),khachanov-karen,otte-oscar,10.03.2023 22:15,"2
-
0
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/32-FINALS",1.29,3.75
51,9,1,55%,78% (39/50),44% (18/41),57% (4/7),43% (37/87),53% (94/178),56% (15/27),0,3,59%,57% (29/51),58% (21/36),29% (2/7),37% (34/91),47% (84/178),44% (12/27),berrettini-matteo,daniel-taro,10.03.2023 21:45,"1
-
2
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/32-FINALS",1.30,3.50
52,5,3,60%,66% (29/44),55% (16/29),36% (4/11),45% (35/78),53% (80/151),59% (13/22),6,14,54%,55% (23/42),56% (20/36),33% (2/6),38% (28/73),47% (71/151),41% (9/22),humbert-ugo,shapovalov-denis,10.03.2023 18:55,"2
-
0
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/32-FINALS",2.63,1.50
53,3,1,62%,58% (21/36),32% (7/22),0% (0/2),27% (13/48),39% (41/106),25% (4/16),7,1,58%,82% (23/28),60% (12/20),67% (4/6),52% (30/58),61% (65/106),75% (12/16),cachin-pedro,zverev-alexander,10.03.2023 18:30,"0
-
2
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/32-FINALS",8.00,1.08
54,4,0,58%,68% (27/40),34% (10/29),0% (0/0),23% (11/48),41% (48/117),29% (5/17),0,1,50%,88% (21/24),67% (16/24),60% (3/5),46% (32/69),59% (69/117),71% (12/17),wu-yibing,davidovich-fokina-alejandro,10.03.2023 18:15,"0
-
2
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/32-FINALS",2.00,1.80
55,28,18,47%,80% (35/44),56% (28/50),0% (0/4),23% (20/86),46% (83/180),50% (12/24),10,1,70%,78% (47/60),73% (19/26),0% (0/2),33% (31/94),54% (97/180),50% (12/24),cressy-maxime,tabilo-alejandro,10.03.2023 17:35,"0
-
2
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/32-FINALS",1.50,2.63
56,6,3,51%,81% (34/42),56% (23/41),20% (1/5),28% (18/65),51% (75/148),48% (11/23),16,3,66%,88% (38/43),41% (9/22),40% (2/5),31% (26/83),49% (73/148),52% (12/23),kubler-jason,dimitrov-grigor,10.03.2023 16:35,"1
-
1
FINISHED / RETIRED -
DIMITROV G.","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/32-FINALS",3.40,1.33
57,11,0,66%,77% (55/71),64% (23/36),20% (1/5),28% (28/101),51% (106/208),47% (16/34),8,3,65%,83% (55/66),51% (18/35),40% (2/5),27% (29/107),49% (102/208),53% (18/34),thompson-jordan,tsitsipas-stefanos,10.03.2023 16:00,"2
-
1
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/32-FINALS",5.50,1.14
58,2,2,54%,69% (25/36),48% (15/31),50% (1/2),29% (18/62),45% (58/129),40% (8/20),6,1,63%,79% (31/39),57% (13/23),75% (3/4),40% (27/67),55% (71/129),60% (12/20),bautista-agut-roberto,ruusuvuori-emil,10.03.2023 15:30,"0
-
2
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/32-FINALS",1.62,2.30
59,2,2,63%,66% (27/41),58% (14/24),38% (3/8),43% (29/68),53% (70/133),59% (10/17),2,2,65%,64% (28/44),46% (11/24),20% (1/5),37% (24/65),47% (63/133),41% (7/17),ivashka-ilya,van-de-zandschulp-botic,10.03.2023 14:15,"1
-
0
FINISHED / RETIRED -
VAN DE ZANDSCHULP B.","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/32-FINALS",2.50,1.53
60,1,3,65%,53% (17/32),59% (10/17),0% (0/0),28% (13/47),42% (40/96),25% (4/16),8,1,68%,81% (26/32),53% (8/15),50% (4/8),45% (22/49),58% (56/96),75% (12/16),nishioka-yoshihito,garin-cristian,10.03.2023 14:10,"0
-
2
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/32-FINALS",1.53,2.50
61,2,1,54%,68% (21/31),42% (11/26),0% (0/1),24% (12/50),41% (44/107),29% (5/17),1,1,66%,82% (27/33),65% (11/17),60% (3/5),44% (25/57),59% (63/107),71% (12/17),schwartzman-diego,ruud-casper,10.03.2023 14:10,"0
-
2
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/32-FINALS",4.00,1.25
62,1,1,61%,52% (16/31),45% (9/20),25% (1/4),27% (14/51),38% (39/102),33% (6/18),4,2,61%,81% (25/31),60% (12/20),50% (4/8),51% (26/51),62% (63/102),67% (12/18),wu-tung-lin,norrie-cameron,10.03.2023 14:10,"0
-
2
FINISHED","ATP - SINGLES: INDIAN WELLS (USA), HARD - 1/32-FINALS",7.00,1.10
